day,symbol,volume,total_volume_daily
2026-03-08,BMNRon,53793.59,14169737.772765834
2026-03-08,CATon,57163.59,14169737.772765834
2026-03-08,CEGon,54813.82,14169737.772765834
2026-03-08,CMGon,57653.35,14169737.772765834
2026-03-08,COPXon,56281.63468522525,14169737.772765834
2026-03-08,COPon,56542.61,14169737.772765834
2026-03-08,COSTon,54735.2,14169737.772765834
2026-03-08,CRMon,56023.39,14169737.772765834
2026-03-08,CRWDon,55241.62,14169737.772765834
2026-03-08,CVNAon,55685.13,14169737.772765834
2026-03-08,Con,57934.11,14169737.772765834
2026-03-08,FIGon,57479.22,14169737.772765834
2026-03-08,FUTUon,57694.77,14169737.772765834
2026-03-08,Fon,55561.99,14169737.772765834
2026-03-08,GEon,55243.53,14169737.772765834
2026-03-08,GLDon,55976.13,14169737.772765834
2026-03-08,GMEon,54996.05,14169737.772765834
2026-03-08,GSon,55417.44,14169737.772765834
2026-03-08,HIMSon,56248.95,14169737.772765834
2026-03-08,IAUon,57040.68,14169737.772765834
2026-03-08,IBMon,56366.05,14169737.772765834
2026-03-08,IEFAon,58111.53,14169737.772765834
2026-03-08,IEMGon,55174.48,14169737.772765834
2026-03-08,IJHon,54971.59,14169737.772765834
2026-03-07,CRCLon,621061.0873198373,13051314.406350223
2026-03-07,TSLAon,1373226.1018927612,13051314.406350223
2026-03-07,AAPLon,110298.84483954775,13051314.406350223
2026-03-07,ABTon,90411.64937,13051314.406350223
2026-03-07,ACNon,84836.23039000001,13051314.406350223
2026-03-07,AMZNon,105660.64479309128,13051314.406350223
2026-03-07,AVGOon,95597.60724869069,13051314.406350223
2026-03-07,BABAon,124043.11224658848,13051314.406350223
2026-03-07,COINon,134124.88176000002,13051314.406350223
2026-03-07,CSCOon,94413.82941,13051314.406350223
2026-03-07,GOOGLon,146475.44586338638,13051314.406350223
2026-03-07,HOODon,119150.49581943644,13051314.406350223
2026-03-07,LLYon,87482.53565460962,13051314.406350223
2026-03-07,MAon,87180.86606,13051314.406350223
2026-03-07,MCDon,76387.09513373204,13051314.406350223
2026-03-07,METAon,94245.28073312256,13051314.406350223
2026-03-07,MSFTon,121121.60874543819,13051314.406350223
2026-03-07,MSTRon,202625.1569601139,13051314.406350223
2026-03-07,NFLXon,110899.464716,13051314.406350223
2026-03-07,NVDAon,453173.0451968594,13051314.406350223
